"State","Item","Model","MAE","RMSE","Type"
"Pennsylvania","Dairy","ETS",0.204914540643511,0.352911911482981,"Food"
"Pennsylvania","Seafood","ARIMA",0.0306897642796572,0.124007271634273,"Food"
"Pennsylvania","Seafood","ETS",0.030730662519791,0.124025772595323,"Food"
"Pennsylvania","Fruits","ARIMA",0.0407986111111109,0.142826137508355,"Food"
"Pennsylvania","Fruits","ETS",0.042541021137577,0.142844389636096,"Food"
"Pennsylvania","Mixed","ARIMA",0.0307617187499878,0.124019592706153,"Food"
"Pennsylvania","Mixed","ETS",0.0307934136865372,0.124025787759045,"Food"
"Pennsylvania","Pasta","ARIMA",0.065870288396622,0.179553777363711,"Food"
"Pennsylvania","Pasta","ETS",0.0677581403173941,0.184763948053257,"Food"
"Pennsylvania","Salads","ARIMA",0.040798611111111,0.142826137508355,"Food"
"Pennsylvania","Salads","ETS",0.0425111340324799,0.14284440657497,"Food"
"Pennsylvania","Potatoes","ARIMA",0.0307617187499768,0.124019592706153,"Food"
"Pennsylvania","Potatoes","ETS",0.0307775464502512,0.124025779082204,"Food"
"Pennsylvania","Eggs","ARIMA",0.0798905937125774,0.223753709445597,"Food"
"Pennsylvania","Eggs","ETS",0.0805185272733953,0.224393137315736,"Food"
"Pennsylvania","Beverages","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Pennsylvania","Beverages","ETS",0.0103996456231824,0.0719841826933624,"Food"
"Texas","Meat","ARIMA",0.199296868126137,0.323492584408866,"Food"
"Texas","Meat","ETS",0.206315023472619,0.325211542618792,"Food"
"Texas","Pastries","ARIMA",0.0602405172463594,0.173921514360129,"Food"
"Texas","Pastries","ETS",0.0574253388811416,0.16919384845852,"Food"
"Texas","Vegetables","ARIMA",0.0307617187499807,0.124019592706153,"Food"
"Texas","Vegetables","ETS",0.0307166961357777,0.1240257814847,"Food"
"Texas","Dairy","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Texas","Dairy","ETS",0.0103822845058496,0.0719841900603283,"Food"
"Texas","Seafood","ARIMA",0.0518224089296976,0.152186944663885,"Food"
"Texas","Seafood","ETS",0.0612586007063412,0.159355962004409,"Food"
"Texas","Fruits","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Texas","Fruits","ETS",0.0206458787386533,0.101534176907564,"Food"
"Texas","Mixed","ARIMA",0.0307617187499223,0.124019592706153,"Food"
"Texas","Mixed","ETS",0.030841340763791,0.124025755238701,"Food"
"Texas","Potatoes","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Texas","Potatoes","ETS",0.010383711834918,0.0719841894863939,"Food"
"Wisconsin","Meat","ARIMA",0.434015141746086,0.551504444099873,"Food"
"Wisconsin","Meat","ETS",0.462347314462074,0.564069192053977,"Food"
"Wisconsin","Pastries","ARIMA",0.283170696708857,0.4235536155258,"Food"
"Wisconsin","Pastries","ETS",0.290432557180285,0.423477425898167,"Food"
"Wisconsin","Fish","ARIMA",0.0506103734891259,0.159218295965119,"Food"
"Wisconsin","Fish","ETS",0.0522014276366352,0.159274467179056,"Food"
"Wisconsin","Vegetables","ARIMA",0.0605468749998716,0.173992636338438,"Food"
"Wisconsin","Vegetables","ETS",0.0604470714571986,0.174001346318884,"Food"
"Wisconsin","Dairy","ARIMA",0.0705997746076941,0.213265093000464,"Food"
"Wisconsin","Dairy","ETS",0.0707263913410336,0.213425219502666,"Food"
"Wisconsin","Seafood","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Wisconsin","Seafood","ETS",0.0206359150810236,0.101534169241455,"Food"
"Wisconsin","Fruits","ARIMA",0.0506103705836218,0.159218295903749,"Food"
"Wisconsin","Fruits","ETS",0.0506942218950449,0.159267157765858,"Food"
"Wisconsin","Mixed","ARIMA",0.0407986111111111,0.142826137508355,"Food"
"Wisconsin","Mixed","ETS",0.0408351059861011,0.142833265008458,"Food"
"Wisconsin","Pasta","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Wisconsin","Pasta","ETS",0.0206839376969028,0.10153414480157,"Food"
"Wisconsin","Salads","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Wisconsin","Salads","ETS",0.0206214359613198,0.101534180251367,"Food"
"Wisconsin","Potatoes","ARIMA",0.0307617187499653,0.124019592706153,"Food"
"Wisconsin","Potatoes","ETS",0.0307608346797645,0.12402579064151,"Food"
"Wisconsin","Eggs","ARIMA",0.0402134601857815,0.130872967300753,"Food"
"Wisconsin","Eggs","ETS",0.0408395341823502,0.1428332701881,"Food"
"Connecticut","Meat","ARIMA",0.154513888888885,0.311804782231162,"Food"
"Connecticut","Meat","ETS",0.154374472428178,0.311820356887469,"Food"
"Connecticut","Pastries","ARIMA",0.145044880968276,0.290507805755976,"Food"
"Connecticut","Pastries","ETS",0.147131883035777,0.290439998889106,"Food"
"Connecticut","Fish","ARIMA",0.049481743973963,0.156477975245953,"Food"
"Connecticut","Fish","ETS",0.0506812027453064,0.159267157282395,"Food"
"Connecticut","Vegetables","ARIMA",0.108018663194593,0.232399078305449,"Food"
"Connecticut","Vegetables","ETS",0.108000313859351,0.232410691664673,"Food"
"Connecticut","Dairy","ARIMA",0.0506103734884197,0.15921829596512,"Food"
"Connecticut","Dairy","ETS",0.0507320868087098,0.159267173133919,"Food"
"Connecticut","Seafood","ARIMA",0.0289524934513555,0.129795271989107,"Food"
"Connecticut","Seafood","ETS",0.0390882425705188,0.140652059360432,"Food"
"Connecticut","Fruits","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Connecticut","Fruits","ETS",0.020621953824757,0.101534180722699,"Food"
"Connecticut","Mixed","ARIMA",0.0307617187499619,0.124019592706153,"Food"
"Connecticut","Mixed","ETS",0.0307107495261238,0.124025777608152,"Food"
"Connecticut","Pasta","ARIMA",0.0407986111111024,0.142826137508355,"Food"
"Connecticut","Pasta","ETS",0.0394997411763191,0.143600015935441,"Food"
"Connecticut","Salads","ARIMA",0.05337519580213,0.163774292464707,"Food"
"Connecticut","Salads","ETS",0.047597456677263,0.172999011853958,"Food"
"Connecticut","Potatoes","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Connecticut","Potatoes","ETS",0.0205991465721218,0.101534175420775,"Food"
"Connecticut","Eggs","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Connecticut","Eggs","ETS",0.0206187957024457,0.101534176785752,"Food"
"Connecticut","Beverages","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Connecticut","Beverages","ETS",0.0108876741626407,0.0719862086704976,"Food"
"Indiana","Meat","ARIMA",0.0814799870964425,0.183437307364932,"Food"
"Indiana","Meat","ETS",0.0829802843964423,0.185836677164555,"Food"
"Indiana","Pastries","ARIMA",0.0407986111111111,0.142826137508355,"Food"
"Indiana","Pastries","ETS",0.0407538238544666,0.142833300367003,"Food"
"Indiana","Fish","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Indiana","Fish","ETS",0.0103210576564084,0.0719841785356764,"Food"
"Indiana","Vegetables","ARIMA",0.015625,0.161374306091976,"Food"
"Indiana","Vegetables","ETS",0.0316201135625652,0.160625299330027,"Food"
"Indiana","Dairy","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Indiana","Dairy","ETS",0.0104016725229034,0.0719841815852878,"Food"
"Indiana","Pasta","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Indiana","Pasta","ETS",0.0190237378842909,0.0982997256598859,"Food"
"Indiana","Salads","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Indiana","Salads","ETS",0.0103942029319586,0.071984184928656,"Food"
"Indiana","Eggs","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Indiana","Eggs","ETS",0.01088920644711,0.0719862087462516,"Food"
"Minnesota","Meat","ARIMA",0.496702914688235,0.574683848091781,"Food"
"Minnesota","Meat","ETS",0.536187455693626,0.598761745211318,"Food"
"Minnesota","Pastries","ARIMA",0.578202079134092,0.696880387077764,"Food"
"Minnesota","Pastries","ETS",0.588384310290927,0.705222221908334,"Food"
"Minnesota","Fish","ARIMA",0.117858982225988,0.297250738392303,"Food"
"Minnesota","Fish","ETS",0.106387552730821,0.275253419671194,"Food"
"Minnesota","Vegetables","ARIMA",0.270025132796497,0.392664558409936,"Food"
"Minnesota","Vegetables","ETS",0.274261341209549,0.395270144541714,"Food"
